2020-08-23 07:25:08,841 [AUDIT] Token created by 'anonymous': tokenId='f974c77c-f070-4cd1-9c72-8abc4578dfd6', issuer='jfrou@01egd39nq95agxd59x2aac8jxb', subject='jfrou@01egd39nq95agxd59x2aac8jxb', expiry=none, refreshable=false
2020-08-23 07:25:10,070 [AUDIT] Token created by 'anonymous': tokenId='1726c3a9-8320-4b5c-adab-de43d7050565', issuer='jfac@01egd39gs4vjsv01w4k0gy0zht', subject='jfac@01egd39gs4vjsv01w4k0gy0zht', expiry=1598167630065, refreshable=false
2020-08-23 07:25:10,186 [AUDIT] Token created by 'anonymous': tokenId='2f97b953-0923-4020-8684-d74244818438', issuer='jfac@01egd39gs4vjsv01w4k0gy0zht', subject='jfac@01egd39gs4vjsv01w4k0gy0zht', expiry=1598167630184, refreshable=false
2020-08-23 07:25:10,413 [AUDIT] Token created by 'anonymous': tokenId='6f8e049a-8da9-4955-bc5a-edf75c5eab96', issuer='jfac@01egd39gs4vjsv01w4k0gy0zht', subject='jfac@01egd39gs4vjsv01w4k0gy0zht', expiry=1598167630411, refreshable=false
2020-08-23 07:25:10,829 [AUDIT] Token created by 'anonymous': tokenId='3e1a184d-3915-4f94-89f1-99dad6d80b41', issuer='jfac@01egd39gs4vjsv01w4k0gy0zht', subject='jfac@01egd39gs4vjsv01w4k0gy0zht', expiry=1598167630826, refreshable=false
2020-08-23 07:25:11,501 [AUDIT] Token created by 'anonymous': tokenId='3cbe2209-c5eb-4221-9c96-b563e94c1a87', issuer='jfmd@01egd39pev7r66bztspq65dps6', subject='jfmd@01egd39pev7r66bztspq65dps6', expiry=none, refreshable=false
2020-08-23 07:25:11,651 [AUDIT] Token created by 'anonymous': tokenId='ff762126-18d2-496f-8784-4f6630e5c671', issuer='jfac@01egd39gs4vjsv01w4k0gy0zht', subject='jfac@01egd39gs4vjsv01w4k0gy0zht', expiry=1598167631649, refreshable=false
2020-08-23 07:25:11,927 [AUDIT] Token created by 'anonymous': tokenId='1f3bfb4f-44f6-41c0-a3e0-54b342171bec', issuer='jfevt@01egd39gs4vjsv01w4k0gy0zht', subject='jfevt@01egd39gs4vjsv01w4k0gy0zht', expiry=none, refreshable=false
2020-08-23 07:25:11,989 [AUDIT] Token created by 'jfevt@01egd39gs4vjsv01w4k0gy0zht': tokenId='bebe2d6c-e31e-41b3-9cbd-e5c32c8ca652', issuer='jfevt@01egd39gs4vjsv01w4k0gy0zht', subject='jfevt@01egd39gs4vjsv01w4k0gy0zht', expiry=1598253911981, refreshable=true
2020-08-23 07:25:11,991 [AUDIT] Token created by 'jfevt@01egd39gs4vjsv01w4k0gy0zht': tokenId='95e91753-943b-486b-acea-9fab54dea4eb', issuer='jfevt@01egd39gs4vjsv01w4k0gy0zht', subject='jfevt@01egd39gs4vjsv01w4k0gy0zht', expiry=1598253911979, refreshable=true
2020-08-23 07:25:12,001 [AUDIT] Token created by 'jfevt@01egd39gs4vjsv01w4k0gy0zht': tokenId='cf84ca79-b50e-4f86-85f7-6b2ec8cbc558', issuer='jfevt@01egd39gs4vjsv01w4k0gy0zht', subject='jfevt@01egd39gs4vjsv01w4k0gy0zht', expiry=1598253911983, refreshable=true
2020-08-23 07:25:17,471 [AUDIT] Token created by 'anonymous': tokenId='769ab1ad-f011-4e65-be1f-02fe973e2636', issuer='jfrt@01egd3a1qewfhq144rep3c1zjn', subject='jfrt@01egd3a1qewfhq144rep3c1zjn', expiry=none, refreshable=false
2020-08-23 07:25:19,969 [AUDIT] Token created by 'jfrt@01egd3a1qewfhq144rep3c1zjn': tokenId='625dcd01-2228-4fa2-8da7-d697fc8bc053', issuer='jfrt@01egd3a1qewfhq144rep3c1zjn', subject='jfrt@01egd3a1qewfhq144rep3c1zjn', expiry=2544247519967, refreshable=false
2020-08-23 07:25:26,340 [AUDIT] Token created by 'anonymous': tokenId='3fb45ae9-abd0-4084-8721-c721517daac2', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-08-23 07:25:26,388 [AUDIT] Token created by 'jffe@000': tokenId='0d00e9cc-ce21-4ee4-8d9e-e23795c9e443', issuer='jffe@000', subject='jffe@000', expiry=1598168126388, refreshable=false
2020-08-23 07:25:35,974 [AUDIT] Token created by 'jffe@000': tokenId='72c0bbb8-0278-44e6-9ee3-616aa207a6a0', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598168135973, refreshable=false
2020-08-23 07:25:35,974 [AUDIT] Token created by 'jffe@000': tokenId='0f199f3c-b526-4f5c-8887-25b434e0a216', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598168135974, refreshable=false
2020-08-23 07:25:35,975 [AUDIT] Token created by 'jffe@000': tokenId='7623b7a1-1377-4969-a0ed-20b203fd0f6d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598168135975, refreshable=false
2020-08-23 07:25:35,976 [AUDIT] Token created by 'jffe@000': tokenId='4344354c-9fc3-4a60-89f4-cc6de56c6a0d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598168135976, refreshable=false
2020-08-23 07:27:33,616 [AUDIT] Token created by 'jffe@000': tokenId='68237877-6ee3-4411-ac0f-167f7e96c242', issuer='jffe@000', subject='admin', expiry=1598169453614, refreshable=true
2020-08-23 07:27:33,680 [AUDIT] Token created by 'jffe@000': tokenId='ba4aa9ae-4df4-4581-bc8c-61d7eea9286e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598168253680, refreshable=false
2020-08-23 07:27:33,689 [AUDIT] Token created by 'jffe@000': tokenId='7d87c97d-e3dd-4c51-b75f-5bd38712655f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598168253689, refreshable=false
2020-08-23 07:27:33,689 [AUDIT] Token created by 'jffe@000': tokenId='eaeeab1b-9cda-4d71-a843-387c36c4bb2e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598168253689, refreshable=false
2020-08-23 07:30:46,712 [AUDIT] Token created by 'jffe@000': tokenId='197515f2-4c43-4db8-a461-0ae2950d4da2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598168446712, refreshable=false
2020-08-23 07:33:03,922 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='68237877-6ee3-4411-ac0f-167f7e96c242', tokenId='411f0b98-1ce6-49a5-9cf0-ad0f6aef59f5', issuer='jffe@000', subject='admin', expiry=1598169783912, refreshable=true
2020-08-23 07:35:28,752 [AUDIT] Token created by 'jffe@000': tokenId='e4fdc27d-8124-4745-b426-834e3f30bf8e', issuer='jffe@000', subject='jffe@000', expiry=1598168728752, refreshable=false
2020-08-23 07:35:28,753 [AUDIT] Token created by 'jffe@000': tokenId='ff763589-fe2e-4853-8347-69a2005a7a20', issuer='jffe@000', subject='jffe@000', expiry=1598168728753, refreshable=false
2020-08-23 07:35:28,754 [AUDIT] Token created by 'jffe@000': tokenId='a091ed67-13c1-445a-8001-4606d7091f99', issuer='jffe@000', subject='jffe@000', expiry=1598168728754, refreshable=false
2020-08-23 07:35:28,755 [AUDIT] Token created by 'jffe@000': tokenId='4a299356-7c7e-4167-a719-1a3423ad00d8', issuer='jffe@000', subject='jffe@000', expiry=1598168728754, refreshable=false
2020-08-23 07:37:34,375 [AUDIT] Token created by 'jffe@000': tokenId='f39e78cc-fd04-44f9-bb2a-2b5d40d87698', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598168854375, refreshable=false
2020-08-23 07:45:28,886 [AUDIT] Token created by 'jffe@000': tokenId='e43ac470-d05a-4bf9-bb6b-360620f91b8d', issuer='jffe@000', subject='jffe@000', expiry=1598169328886, refreshable=false
2020-08-23 07:45:28,895 [AUDIT] Token created by 'jffe@000': tokenId='a65260e3-a879-4b3c-84c7-6e5d92cc16a7', issuer='jffe@000', subject='jffe@000', expiry=1598169328895, refreshable=false
2020-08-23 07:45:28,896 [AUDIT] Token created by 'jffe@000': tokenId='96d1afae-303e-4260-831e-86cfd523681d', issuer='jffe@000', subject='jffe@000', expiry=1598169328895, refreshable=false
2020-08-23 07:45:28,898 [AUDIT] Token created by 'jffe@000': tokenId='b8022d5f-dc8c-45ca-8587-a43a7c0d4fdf', issuer='jffe@000', subject='jffe@000', expiry=1598169328897, refreshable=false
2020-08-23 07:47:34,663 [AUDIT] Token created by 'jffe@000': tokenId='61312cc0-d516-4a3e-bace-d66fa8702f91', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598169454663, refreshable=false
2020-08-23 07:47:50,199 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='411f0b98-1ce6-49a5-9cf0-ad0f6aef59f5', tokenId='4c8bb9f7-fdef-4453-93fb-20c7b4beeda0', issuer='jffe@000', subject='admin', expiry=1598170670197, refreshable=true
2020-08-23 07:55:29,003 [AUDIT] Token created by 'jffe@000': tokenId='16954313-daee-4693-b1b8-8fcbdd2bfc82', issuer='jffe@000', subject='jffe@000', expiry=1598169929003, refreshable=false
2020-08-23 07:55:29,003 [AUDIT] Token created by 'jffe@000': tokenId='2bd35f93-ea8a-42c0-86f7-b5b50708fe30', issuer='jffe@000', subject='jffe@000', expiry=1598169929003, refreshable=false
2020-08-23 07:55:29,010 [AUDIT] Token created by 'jffe@000': tokenId='ee8a76d0-9e66-4445-b51f-fd2dfa081bdc', issuer='jffe@000', subject='jffe@000', expiry=1598169929010, refreshable=false
2020-08-23 07:55:29,017 [AUDIT] Token created by 'jffe@000': tokenId='1f0eeb16-8528-4b29-a959-9f0bf96884bf', issuer='jffe@000', subject='jffe@000', expiry=1598169929017, refreshable=false
2020-08-23 07:57:34,546 [AUDIT] Token created by 'jffe@000': tokenId='3cbc5867-bcc0-4c90-bdc6-82f22d198c9e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170054545, refreshable=false
2020-08-23 07:57:59,103 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='4c8bb9f7-fdef-4453-93fb-20c7b4beeda0', tokenId='ce2a7bef-c1d6-4b83-936d-d439c0a63987', issuer='jffe@000', subject='admin', expiry=1598171279095, refreshable=true
2020-08-23 08:02:38,491 [AUDIT] Token created by 'jffe@000': tokenId='0cd8700d-5072-4d76-96dc-379df449b3ed', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170358491, refreshable=false
2020-08-23 08:04:07,987 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='ce2a7bef-c1d6-4b83-936d-d439c0a63987', tokenId='b7e557a8-0366-493f-b059-d075cd9f96a4', issuer='jffe@000', subject='admin', expiry=1598171647980, refreshable=true
2020-08-23 08:05:21,641 [AUDIT] Token created by 'jffe@000': tokenId='bfcb7bf2-e304-4fdb-b101-3a4d659db9a7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170521641, refreshable=false
2020-08-23 08:05:29,241 [AUDIT] Token created by 'jffe@000': tokenId='7e49ef2e-072d-4ab2-9652-e582527ef915', issuer='jffe@000', subject='jffe@000', expiry=1598170529241, refreshable=false
2020-08-23 08:05:29,243 [AUDIT] Token created by 'jffe@000': tokenId='214b2baa-5099-4606-a2da-577142e65eac', issuer='jffe@000', subject='jffe@000', expiry=1598170529243, refreshable=false
2020-08-23 08:05:29,245 [AUDIT] Token created by 'jffe@000': tokenId='9763b9c7-c6dd-4903-90a6-8a13b08997a4', issuer='jffe@000', subject='jffe@000', expiry=1598170529245, refreshable=false
2020-08-23 08:05:29,249 [AUDIT] Token created by 'jffe@000': tokenId='51694ac4-fb21-4aa1-9745-5e4c022849b7', issuer='jffe@000', subject='jffe@000', expiry=1598170529248, refreshable=false
2020-08-23 08:07:34,555 [AUDIT] Token created by 'jffe@000': tokenId='1fc63c8c-a74d-4349-9bf3-de280a68c187', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1598170654555, refreshable=false
2020-08-23 08:08:02,021 [AUDIT] Token revoked by 'jffe@000': tokenId='b7e557a8-0366-493f-b059-d075cd9f96a4', issuer='jffe@000', subject='admin', expiry=1598171647980, refreshable=true
